,TRBV17*01,TRBV12-2*02,TRBV19*03,TRBV1*02,TRBV12-1*02,TRBV19*01,TRBV5*04,TRBV13-3*01,TRBV13-1*02,TRBV16*02,TRBV24*02,TRBV20*01,TRBV15*01,TRBV13-1*01,TRBV29*01,TRBV24*03,TRBV12-1*01,TRBV29*02,TRBV13-2*04,TRBV5*01,TRBV3*02,TRBV4*02,TRBV16*01,TRBV5*02,TRBV2*01,TRBV19*02,TRBV1*01,TRBV21*01,TRBV12-2*01,TRBV16*04,TRBV20*02,TRBV3*01,TRBV26*01,TRBV14*01,TRBV13-2*02,TRBV23*01,TRBV24*04,TRBV24*01,TRBV5*03,TRBV4*01,TRBV5*05,TRBV13-2*05,TRBV13-2*03,TRBV26*02,TRBV16*03,TRBV13-2*01
TRBV17*01,0.0,0.5963718820861678,0.13378684807256236,0.8707482993197279,0.582766439909297,0.13378684807256236,0.6099773242630385,0.1473922902494331,0.13605442176870747,0.6394557823129251,0.7959183673469387,0.6439909297052153,0.6213151927437642,0.1383219954648526,0.19047619047619047,0.7959183673469387,0.582766439909297,0.19047619047619047,0.1655328798185941,0.6099773242630385,0.5555555555555556,0.5963718820861678,0.6394557823129251,0.6099773242630385,0.5736961451247165,0.13378684807256236,0.873015873015873,0.8049886621315192,0.5963718820861678,0.63718820861678,0.6439909297052153,0.5532879818594104,0.800453514739229,0.6575963718820861,0.1655328798185941,0.800453514739229,0.7959183673469387,0.7936507936507936,0.6122448979591837,0.6077097505668935,0.6054421768707483,0.1678004535147392,0.16099773242630383,0.800453514739229,0.6439909297052153,0.1655328798185941
TRBV12-2*02,0.5963718820861678,0.0,0.5918367346938775,0.9954648526077097,0.056689342403628114,0.5918367346938775,0.19727891156462585,0.5782312925170068,0.5668934240362812,0.43990929705215415,0.5804988662131519,0.7006802721088434,0.41723356009070295,0.562358276643991,0.5374149659863946,0.5804988662131519,0.05895691609977324,0.5374149659863946,0.600907029478458,0.1950113378684807,0.5646258503401361,0.19727891156462585,0.43990929705215415,0.1950113378684807,0.18820861678004533,0.5895691609977324,0.9931972789115646,0.5918367346938775,0.0022675736961451248,0.43764172335600904,0.7006802721088434,0.5646258503401361,0.582766439909297,0.528344671201814,0.600907029478458,0.5804988662131519,0.5804988662131519,0.5804988662131519,0.19727891156462585,0.20634920634920634,0.1927437641723356,0.6054421768707483,0.5986394557823129,0.582766439909297,0.43990929705215415,0.600907029478458
TRBV19*03,0.13378684807256236,0.5918367346938775,0.0,0.8390022675736961,0.5759637188208616,0.006802721088435374,0.5963718820861678,0.18594104308390022,0.12925170068027209,0.6167800453514739,0.7777777777777778,0.6417233560090703,0.600907029478458,0.12925170068027209,0.19727891156462585,0.7777777777777778,0.5782312925170068,0.19954648526077096,0.1746031746031746,0.5963718820861678,0.546485260770975,0.5804988662131519,0.6167800453514739,0.5963718820861678,0.5600907029478458,0.006802721088435374,0.8412698412698413,0.7868480725623583,0.5941043083900227,0.6145124716553287,0.6417233560090703,0.5442176870748299,0.7800453514739228,0.6394557823129251,0.17233560090702948,0.7800453514739228,0.7777777777777778,0.7777777777777778,0.5963718820861678,0.5895691609977324,0.5918367346938775,0.17233560090702948,0.1678004535147392,0.782312925170068,0.6213151927437642,0.17233560090702948
TRBV1*02,0.8707482993197279,0.9954648526077097,0.8390022675736961,0.0,0.997732426303855,0.8390022675736961,0.9047619047619048,0.8616780045351473,0.8208616780045351,0.927437641723356,0.9160997732426304,0.9773242630385486,0.9523809523809524,0.8208616780045351,0.8707482993197279,0.9160997732426304,1.0,0.873015873015873,0.8412698412698413,0.9047619047619048,0.979591836734694,0.8956916099773242,0.9251700680272109,0.9047619047619048,0.9160997732426304,0.8412698412698413,0.02040816326530612,0.8979591836734694,0.9954648526077097,0.9251700680272109,0.9750566893424035,0.9727891156462585,0.9160997732426304,0.8526077097505668,0.8412698412698413,0.9160997732426304,0.9183673469387754,0.9183673469387754,0.909297052154195,0.8979591836734694,0.9070294784580498,0.8412698412698413,0.8412698412698413,0.9138321995464853,0.927437641723356,0.8412698412698413
TRBV12-1*02,0.582766439909297,0.056689342403628114,0.5759637188208616,0.997732426303855,0.0,0.5759637188208616,0.20861678004535147,0.5691609977324262,0.5578231292517006,0.43537414965986393,0.5873015873015872,0.6893424036281179,0.41043083900226757,0.5532879818594104,0.528344671201814,0.5873015873015872,0.0045351473922902496,0.528344671201814,0.5895691609977324,0.20634920634920634,0.5487528344671202,0.20861678004535147,0.43764172335600904,0.20634920634920634,0.19727891156462585,0.5736961451247165,0.997732426303855,0.5986394557823129,0.056689342403628114,0.43537414965986393,0.6893424036281179,0.5487528344671202,0.5895691609977324,0.5215419501133787,0.5895691609977324,0.5850340136054422,0.5850340136054422,0.5850340136054422,0.20634920634920634,0.21995464852607707,0.20408163265306123,0.5941043083900227,0.5850340136054422,0.5895691609977324,0.43537414965986393,0.5895691609977324
TRBV19*01,0.13378684807256236,0.5918367346938775,0.006802721088435374,0.8390022675736961,0.5759637188208616,0.0,0.5941043083900227,0.18594104308390022,0.13151927437641722,0.6167800453514739,0.7755102040816326,0.6417233560090703,0.5986394557823129,0.12925170068027209,0.19727891156462585,0.7755102040816326,0.5759637188208616,0.19954648526077096,0.1746031746031746,0.5941043083900227,0.546485260770975,0.5782312925170068,0.6167800453514739,0.5941043083900227,0.5578231292517006,0.006802721088435374,0.8412698412698413,0.7845804988662132,0.5918367346938775,0.6145124716553287,0.6417233560090703,0.5419501133786848,0.7800453514739228,0.6394557823129251,0.1746031746031746,0.7777777777777778,0.7755102040816326,0.7755102040816326,0.5963718820861678,0.5895691609977324,0.5895691609977324,0.1746031746031746,0.17006802721088435,0.7800453514739228,0.6190476190476191,0.1746031746031746
TRBV5*04,0.6099773242630385,0.19727891156462585,0.5963718820861678,0.9047619047619048,0.20861678004535147,0.5941043083900227,0.0,0.582766439909297,0.5691609977324262,0.47165532879818595,0.5147392290249433,0.6848072562358276,0.4535147392290249,0.5668934240362812,0.5396825396825397,0.5147392290249433,0.20861678004535147,0.5396825396825397,0.600907029478458,0.0045351473922902496,0.5646258503401361,0.04988662131519274,0.47165532879818595,0.0045351473922902496,0.07029478458049887,0.5941043083900227,0.9024943310657596,0.5192743764172335,0.19727891156462585,0.4693877551020408,0.6848072562358276,0.5646258503401361,0.5170068027210883,0.5238095238095238,0.600907029478458,0.5102040816326531,0.5147392290249433,0.5147392290249433,0.009070294784580499,0.05215419501133787,0.03401360544217687,0.6077097505668935,0.5986394557823129,0.5170068027210883,0.4693877551020408,0.600907029478458
TRBV13-3*01,0.1473922902494331,0.5782312925170068,0.18594104308390022,0.8616780045351473,0.5691609977324262,0.18594104308390022,0.582766439909297,0.0,0.12925170068027209,0.6326530612244898,0.7732426303854876,0.6530612244897959,0.6167800453514739,0.13151927437641722,0.14512471655328799,0.7732426303854876,0.5714285714285714,0.1473922902494331,0.13378684807256236,0.582766439909297,0.5782312925170068,0.5691609977324262,0.6326530612244898,0.582766439909297,0.546485260770975,0.1836734693877551,0.8639455782312925,0.7800453514739228,0.5804988662131519,0.6303854875283446,0.6530612244897959,0.5759637188208616,0.7755102040816326,0.6621315192743764,0.13378684807256236,0.7755102040816326,0.7732426303854876,0.7709750566893424,0.582766439909297,0.5804988662131519,0.5782312925170068,0.13605442176870747,0.14285714285714285,0.7777777777777778,0.63718820861678,0.13378684807256236
TRBV13-1*02,0.13605442176870747,0.5668934240362812,0.12925170068027209,0.8208616780045351,0.5578231292517006,0.13151927437641722,0.5691609977324262,0.12925170068027209,0.0,0.6054421768707483,0.7551020408163265,0.6485260770975056,0.5918367346938775,0.013605442176870748,0.13605442176870747,0.7551020408163265,0.5578231292517006,0.1383219954648526,0.10884353741496598,0.5691609977324262,0.5668934240362812,0.5555555555555556,0.6054421768707483,0.5691609977324262,0.5374149659863946,0.12925170068027209,0.8208616780045351,0.7619047619047619,0.5691609977324262,0.6031746031746031,0.6485260770975056,0.562358276643991,0.7573696145124716,0.6326530612244898,0.10884353741496598,0.7551020408163265,0.7528344671201813,0.7528344671201813,0.5714285714285714,0.5646258503401361,0.5646258503401361,0.10884353741496598,0.1111111111111111,0.7573696145124716,0.6099773242630385,0.10884353741496598
TRBV16*02,0.6394557823129251,0.43990929705215415,0.6167800453514739,0.927437641723356,0.43537414965986393,0.6167800453514739,0.47165532879818595,0.6326530612244898,0.6054421768707483,0.0,0.5804988662131519,0.655328798185941,0.09070294784580499,0.600907029478458,0.5850340136054422,0.5804988662131519,0.43537414965986393,0.5850340136054422,0.6439909297052153,0.47165532879818595,0.5056689342403627,0.4648526077097505,0.006802721088435374,0.47165532879818595,0.4512471655328798,0.6167800453514739,0.927437641723356,0.5873015873015872,0.43990929705215415,0.015873015873015876,0.655328798185941,0.5056689342403627,0.5850340136054422,0.2380952380952381,0.6417233560090703,0.5714285714285714,0.5804988662131519,0.5804988662131519,0.473922902494331,0.4693877551020408,0.47165532879818595,0.6462585034013606,0.6394557823129251,0.5850340136054422,0.022675736961451247,0.6417233560090703
