,Count
TRBV06-8_01,7
TRBV07-2_01,931
TRBV09_01,1663
TRBV02_01,1375
TRBV04-3_01,856
TRBV28_01,1130
TRBV27_01,2165
TRBV19_01,4766
TRBV18_01,409
TRBV29-1_01,1458
TRBV20-1_01,2602
TRBV14_01,489
TRBV04-2_01,498
TRBV10-2_01,239
TRBV07-8_01,872
TRBV10-3_01,545
TRBV11-2_01,1178
TRBV07-9_01,2456
TRBV04-1_01,1369
TRBV06-6_01,443
TRBV06-1_01,771
TRBV06-2_01,317
TRBV06-5_01,1272
TRBV06-9_01,9
TRBV12-4_01,946
TRBV24-1_01,571
TRBV05-1_01,1305
TRBV07-3_01,470
TRBV12-3_01,1241
TRBV05-5_01,309
TRBV16_01,51
TRBV30_01,536
TRBV06-4_01,266
TRBV03-1_01,790
TRBV07-6_01,581
TRBV09_02,3
TRBV05-8_01,128
TRBV05-6_01,755
TRBV07-2_02,2
TRBV25-1_01,302
TRBV13_01,489
TRBV15_01,680
TRBV07-7_01,100
TRBV05-4_01,488
TRBV11-1_01,99
TRBV07-2_03,47
TRBV12-5_01,231
TRBV11-3_01,224
TRBV10-1_01,183
TRBV06-3_01,562
TRBV07-4_01,12
TRBV07-9_03,5
TRBV19_02,103
TRBV06-4_02,2
TRBV06-6_02,1
