,TRBV17*01,TRBV19*03,TRBV1*02,TRBV12-1*02,TRBV19*01,TRBV5*04,TRBV13-3*01,TRBV13-1*02,TRBV16*02,TRBV24*02,TRBV20*01,TRBV15*01,TRBV13-1*01,TRBV29*01,TRBV24*03,TRBV12-1*01,TRBV29*02,TRBV13-2*04,TRBV5*01,TRBV3*02,TRBV4*02,TRBV16*01,TRBV5*02,TRBV2*01,TRBV19*02,TRBV1*01,TRBV16*04,TRBV20*02,TRBV3*01,TRBV26*01,TRBV14*01,TRBV13-2*02,TRBV23*01,TRBV24*04,TRBV24*01,TRBV5*03,TRBV4*01,TRBV5*05,TRBV13-2*05,TRBV13-2*03,TRBV26*02,TRBV16*03,TRBV13-2*01,TRBV12-2*01,TRBV12-2*02,TRBV21*01
TRBV17*01,0,0.81805,0.50139,0.81282,0.50012,0.85089,0.49922,0.48224,0.84842,0.81636,0.80347,0.79996,0.49555,0.62949,0.81636,0.81394,0.63143,0.53277,0.85065,0.83962,0.85016,0.83403,0.85065,0.49181,0.8238,0.81836,0.82654,0.80389,0.83265,0.80424,0.80208,0.53083,0.84985,0.81692,0.81672,0.8504,0.82718,0.85268,0.54197,0.50292,0.80625,0.85414,0.53083,0.6481,0.6486,0.8112
TRBV19*03,0.81805,0,0.81785,0.1764,0.81352,0.60809,0.78287,0.79068,0.63868,0.62527,0.78231,0.60102,0.7924,0.74586,0.62527,0.18233,0.74907,0.79695,0.60646,0.67439,0.60741,0.6438,0.60646,0.81274,0.69385,0.00047,0.6491,0.78154,0.66525,0.65678,0.60539,0.79676,0.69962,0.63346,0.64608,0.60242,0.62679,0.55353,0.79556,0.79226,0.65352,0.64826,0.79676,0.8315,0.8312,0.8212
TRBV1*02,0.50139,0.81785,0,0.84223,0.00381,0.85742,0.5551,0.30764,0.80602,0.80361,0.78595,0.7729,0.31532,0.57585,0.80361,0.8422,0.58096,0.54997,0.85767,0.79844,0.81177,0.80782,0.85767,0.00456,0.80169,0.81854,0.79683,0.78582,0.79838,0.81405,0.78027,0.54749,0.80719,0.80417,0.80182,0.85952,0.81122,0.83319,0.53796,0.54484,0.80961,0.8137,0.54749,0.6481,0.6474,0.6252
TRBV12-1*02,0.81282,0.1764,0.84223,0,0.84348,0.60123,0.77806,0.79715,0.67379,0.5975,0.77723,0.62641,0.79931,0.75868,0.5975,0.00104,0.75919,0.80717,0.60018,0.70815,0.60908,0.67494,0.60018,0.84291,0.67941,0.17598,0.67165,0.77642,0.7101,0.64363,0.64571,0.80664,0.68646,0.6083,0.61797,0.59928,0.63466,0.57599,0.80392,0.81029,0.63963,0.66855,0.80664,0.6304,0.6268,0.6899
TRBV19*01,0.50012,0.81352,0.00381,0.84348,0,0.85711,0.55332,0.31882,0.8041,0.80894,0.78129,0.77262,0.32792,0.57048,0.80894,0.84345,0.57547,0.55419,0.85737,0.80037,0.80641,0.80382,0.85737,0.00324,0.80178,0.81422,0.79415,0.78128,0.80024,0.81079,0.77716,0.55196,0.81044,0.8097,0.80112,0.85923,0.80217,0.83153,0.54076,0.54494,0.81121,0.80847,0.55196,0.6097,0.6074,0.6714
TRBV5*04,0.85089,0.60809,0.85742,0.60123,0.85711,0,0.79353,0.83295,0.56434,0.67281,0.75608,0.49715,0.83284,0.7588,0.67281,0.59996,0.75607,0.81255,0.00138,0.77686,0.13483,0.56071,0.00138,0.85716,0.67906,0.60903,0.56522,0.76493,0.78014,0.67446,0.63013,0.81212,0.61272,0.67815,0.67707,0.00596,0.14537,0.06904,0.81509,0.83366,0.67056,0.55898,0.81212,0.6486,0.6487,0.6505
TRBV13-3*01,0.49922,0.78287,0.5551,0.77806,0.55332,0.79353,0,0.38759,0.79547,0.83168,0.80899,0.78248,0.39962,0.39328,0.83168,0.77848,0.39303,0.34335,0.79497,0.76578,0.78046,0.79112,0.79497,0.56531,0.84212,0.78313,0.79768,0.80838,0.76273,0.8588,0.82856,0.34181,0.82574,0.83061,0.83065,0.79635,0.78692,0.78288,0.34613,0.3837,0.85062,0.78849,0.34181,0.8129,0.8119,0.8316
TRBV13-1*02,0.48224,0.79068,0.30764,0.79715,0.31882,0.83295,0.38759,0,0.74793,0.79676,0.81072,0.75088,0.01252,0.40153,0.79676,0.79911,0.4075,0.39227,0.82342,0.79206,0.82368,0.74738,0.82342,0.30982,0.80341,0.79174,0.7344,0.81033,0.79631,0.80583,0.79843,0.392,0.81015,0.79657,0.80741,0.82762,0.79456,0.82566,0.38042,0.40954,0.79543,0.74845,0.392,0.6677,0.6685,0.7829
TRBV16*02,0.84842,0.63868,0.80602,0.67379,0.8041,0.56434,0.79547,0.74793,0,0.63609,0.79665,0.28623,0.74661,0.70107,0.63609,0.67377,0.70659,0.77608,0.56879,0.72193,0.56686,0.00375,0.56879,0.80835,0.63821,0.63958,0.01967,0.79948,0.73155,0.66992,0.58042,0.77816,0.64662,0.63618,0.64224,0.56614,0.53919,0.5528,0.77988,0.77326,0.66795,0.03319,0.77816,0.8115,0.8111,0.8537
TRBV24*02,0.81636,0.62527,0.80361,0.5975,0.80894,0.67281,0.83168,0.79676,0.63609,0,0.81341,0.61139,0.80135,0.78461,0,0.59398,0.78408,0.78753,0.66988,0.7682,0.68514,0.63714,0.66988,0.8079,0.29826,0.63242,0.63638,0.81158,0.76361,0.22222,0.62025,0.7866,0.24563,0.0019,0.01091,0.66974,0.69362,0.63904,0.78656,0.78826,0.21535,0.6316,0.7866,0.6553,0.6556,0.2901
TRBV20*01,0.80347,0.78231,0.78595,0.77723,0.78129,0.75608,0.80899,0.81072,0.79665,0.81341,0,0.76134,0.80887,0.79615,0.81341,0.77929,0.79709,0.84922,0.76655,0.76808,0.78659,0.80162,0.76655,0.78356,0.80387,0.78286,0.79802,0.00085,0.76822,0.80994,0.80086,0.84921,0.80903,0.81076,0.81097,0.76707,0.79072,0.75285,0.8545,0.82577,0.81468,0.8084,0.84921,0.8098,0.8092,0.8438
TRBV15*01,0.79996,0.60102,0.7729,0.62641,0.77262,0.49715,0.78248,0.75088,0.28623,0.61139,0.76134,0,0.7479,0.70741,0.61139,0.62654,0.71123,0.7331,0.50357,0.70228,0.5037,0.29015,0.50357,0.7749,0.63859,0.60111,0.27407,0.75965,0.74815,0.61566,0.55539,0.73257,0.63196,0.61358,0.61235,0.50098,0.49271,0.47722,0.74412,0.73035,0.61557,0.2917,0.73257,0.609,0.6081,0.664
TRBV13-1*01,0.49555,0.7924,0.31532,0.79931,0.32792,0.83284,0.39962,0.01252,0.74661,0.80135,0.80887,0.7479,0,0.39119,0.80135,0.80131,0.39728,0.38377,0.83493,0.80121,0.82003,0.74587,0.83493,0.3158,0.79949,0.79346,0.73303,0.8081,0.80399,0.80302,0.80096,0.38301,0.81184,0.80083,0.8064,0.83754,0.79912,0.8267,0.38098,0.40358,0.79365,0.74681,0.38301,0.8275,0.8269,0.8158
TRBV29*01,0.62949,0.74586,0.57585,0.75868,0.57048,0.7588,0.39328,0.40153,0.70107,0.78461,0.79615,0.70741,0.39119,0,0.78461,0.75928,0.00211,0.43778,0.76001,0.74169,0.71773,0.70486,0.76001,0.56599,0.78591,0.74598,0.69659,0.79587,0.75166,0.79564,0.77702,0.4368,0.75772,0.78497,0.79656,0.76319,0.71113,0.7072,0.45835,0.46888,0.78288,0.71548,0.4368,0.8306,0.8301,0.8134
TRBV24*03,0.81636,0.62527,0.80361,0.5975,0.80894,0.67281,0.83168,0.79676,0.63609,0,0.81341,0.61139,0.80135,0.78461,0,0.59398,0.78408,0.78753,0.66988,0.7682,0.68514,0.63714,0.66988,0.8079,0.29826,0.63242,0.63638,0.81158,0.76361,0.22222,0.62025,0.7866,0.24563,0.0019,0.01091,0.66974,0.69362,0.63904,0.78656,0.78826,0.21535,0.6316,0.7866,0.8071,0.8065,0.8305
TRBV12-1*01,0.81394,0.18233,0.8422,0.00104,0.84345,0.59996,0.77848,0.79911,0.67377,0.59398,0.77929,0.62654,0.80131,0.75928,0.59398,0,0.75972,0.80862,0.59892,0.70847,0.60835,0.67492,0.59892,0.84289,0.67746,0.18127,0.67136,0.77827,0.71116,0.64258,0.65034,0.80809,0.68622,0.60471,0.61412,0.59816,0.63374,0.57577,0.80533,0.81168,0.6387,0.66863,0.80809,0.7858,0.7856,0.8031
TRBV29*02,0.63143,0.74907,0.58096,0.75919,0.57547,0.75607,0.39303,0.4075,0.70659,0.78408,0.79709,0.71123,0.39728,0.00211,0.78408,0.75972,0,0.43728,0.75741,0.74449,0.71917,0.71048,0.75741,0.5707,0.78594,0.749,0.70128,0.79667,0.75403,0.79789,0.7789,0.43651,0.75538,0.78454,0.79641,0.76048,0.71285,0.70912,0.45845,0.46882,0.78462,0.72168,0.43651,0.5556,0.5535,0.6374
TRBV13-2*04,0.53277,0.79695,0.54997,0.80717,0.55419,0.81255,0.34335,0.39227,0.77608,0.78753,0.84922,0.7331,0.38377,0.43778,0.78753,0.80862,0.43728,0,0.81522,0.79232,0.79596,0.77379,0.81522,0.54724,0.80877,0.79746,0.75928,0.851,0.79801,0.77851,0.78785,0.00087,0.77904,0.78789,0.78755,0.8194,0.78157,0.81017,0.04411,0.04448,0.77363,0.75411,0.00087,0.8124,0.8119,0.8314
TRBV5*01,0.85065,0.60646,0.85767,0.60018,0.85737,0.00138,0.79497,0.82342,0.56879,0.66988,0.76655,0.50357,0.83493,0.76001,0.66988,0.59892,0.75741,0.81522,0,0.77787,0.13721,0.56473,0,0.85742,0.68294,0.60739,0.56413,0.76476,0.7803,0.67437,0.63065,0.81489,0.61492,0.67749,0.67368,0.00695,0.14426,0.06945,0.81787,0.80268,0.67089,0.56035,0.81489,0.8124,0.8119,0.8314
TRBV3*02,0.83962,0.67439,0.79844,0.70815,0.80037,0.77686,0.76578,0.79206,0.72193,0.7682,0.76808,0.70228,0.80121,0.74169,0.7682,0.70847,0.74449,0.79232,0.77787,0,0.7542,0.72186,0.77787,0.79711,0.81133,0.67458,0.72289,0.76778,0.05599,0.76267,0.75769,0.79109,0.78043,0.78573,0.81988,0.77905,0.73025,0.7809,0.79437,0.79271,0.75175,0.71204,0.79109,0.6449,0.6395,0.2983
TRBV4*02,0.85016,0.60741,0.81177,0.60908,0.80641,0.13483,0.78046,0.82368,0.56686,0.68514,0.78659,0.5037,0.82003,0.71773,0.68514,0.60835,0.71917,0.79596,0.13721,0.7542,0,0.56627,0.13721,0.81025,0.68634,0.60974,0.56018,0.78547,0.76359,0.68295,0.61904,0.79505,0.64982,0.68934,0.688,0.15003,0.06119,0.09846,0.7992,0.78754,0.67349,0.54431,0.79505,0.6403,0.6393,0.641
