,TRBV7-2*04,TRBV29_OR9-2*02,TRBV20-1*06,TRBV7-9*02,TRBV24-1*01,TRBV12-4*02,TRBV7-6*02,TRBV20-1*03,TRBV29-1*01,TRBV4-1*02,TRBV19*01,TRBV10-3*01,TRBV6-6*04,TRBV6-8*01,TRBV7-3*02,TRBV12-3*01,TRBV7-9*01,TRBV17*01,TRBV14*01,TRBV20-1*01,TRBV4-3*02,TRBV5-4*01,TRBV5-1*01,TRBV30*05,TRBV25-1*01,TRBV11-2*01,TRBV5-4*03,TRBV5-1*02,TRBV5-5*02,TRBV6-7*01,TRBV7-7*01,TRBV4-3*01,TRBV5-3*02,TRBV20-1*05,TRBV13*01,TRBV2*01,TRBV21_OR9-2*01,TRBV2*02,TRBV30*04,TRBV30*02,TRBV7-3*05,TRBV20_OR9-2*02,TRBV6-2*01,TRBV7-2*03,TRBV6-6*01,TRBV11-3*04,TRBV6-4*02,TRBV10-2*02,TRBV19*02,TRBV7-9*04,TRBV29-1*02,TRBV11-2*02,TRBV18*01,TRBV20_OR9-2*01,TRBV15*01,TRBV11-3*02,TRBV7-9*07,TRBV5-5*03,TRBV10-2*01,TRBV3-1*02,TRBV11-2*03,TRBV9*01,TRBV7-7*02,TRBV12-4*01,TRBV6-1*01,TRBV6-3*01,TRBV4-1*01,TRBV6-5*01,TRBV10-1*01,TRBV6-4*01,TRBV9*03,TRBV7-8*01,TRBV28*01,TRBV7-3*04,TRBV7-9*03,TRBV7-3*03,TRBV24_OR9-2*01,TRBV16*01,TRBV10-1*02,TRBV7-3*01,TRBV7-2*01,TRBV2*03,TRBV17*02,TRBV7-9*06,TRBV15*02,TRBV19*03,TRBV5-3*01,TRBV20-1*02,TRBV5-5*01,TRBV11-1*01,TRBV27*01,TRBV14*02,TRBV20-1*04,TRBV30*01,TRBV6-6*02,TRBV6-6*03,TRBV5-7*01,TRBV7-6*01,TRBV5-6*01*CDR1,TRBV12-5*01,TRBV13*02,TRBV4-3*03,TRBV7-2*02,TRBV23-1*01,TRBV20_OR9-2*03,TRBV4-2*02,TRBV7-4*01,TRBV6-9*01,TRBV29-1*03,TRBV5-4*02,TRBV5-8*02,TRBV7-9*05,TRBV20-1*07,TRBV6-6*05,TRBV11-3*01,TRBV24-1*02,TRBV29_OR9-2*01,TRBV5-8*01,TRBV4-2*01,TRBV4-3*04,TRBV10-3*02,TRBV11-3*03,TRBV7-8*02,TRBV15*03,TRBV9*02,TRBV3-1*01,TRBV5-4*04,TRBV7-1*01
TRBV7-2*04,0.0,0.0,0.72618,0.39481999999999995,0.67093,0.12919999999999998,0.0,0.72618,0.0,0.47529,0.6031500000000001,0.67093,0.44038,0.55202,0.26288999999999996,0.12919999999999998,0.39481999999999995,0.0,0.37509000000000003,0.72618,0.47523000000000004,0.38473,0.33136,0.7425999999999999,0.44992,0.33529,0.38473,0.33136,0.38473,0.48801000000000005,0.0,0.47523000000000004,0.42752,0.72618,0.1854,0.33896000000000004,0.41524000000000005,0.33896000000000004,0.7425999999999999,0.7425999999999999,0.26288999999999996,0.72616,0.4648,0.0,0.44038,0.33529,0.49646,0.67093,0.6031500000000001,0.39481999999999995,0.0,0.33529,0.0,0.72618,0.0,0.33529,0.39481999999999995,0.38473,0.67093,0.60446,0.33529,0.40206,0.0,0.12919999999999998,0.57423,0.4648,0.47529,0.48801000000000005,0.67093,0.49646,0.40206,0.31145,0.47280999999999995,0.26288999999999996,0.39481999999999995,0.26288999999999996,0.67093,0.41522000000000003,0.67093,0.26288999999999996,0.0,0.33896000000000004,0.0,0.39481999999999995,0.0,0.6031500000000001,0.42752,0.72618,0.38473,0.33529,0.42512000000000005,0.37509000000000003,0.72618,0.7425999999999999,0.44038,0.44038,0.38463,0.0,0.27195,0.12919999999999998,0.1854,0.47523000000000004,0.0,0.41522000000000003,0.72616,0.47523000000000004,0.0,0.48801000000000005,0.35946,0.38473,0.35953,0.39481999999999995,0.72618,0.44038,0.33529,0.67093,0.0,0.35953,0.47523000000000004,0.47523000000000004,0.67093,0.33529,0.31145,0.0,0.4051,0.60446,0.38473,0.0
TRBV29_OR9-2*02,0.0,0.0,0.72627,0.39491,0.67092,0.12946000000000002,0.0,0.72627,0.0,0.47544,0.60329,0.67092,0.44047000000000003,0.5521199999999999,0.26305,0.12946000000000002,0.39491,0.0,0.37507999999999997,0.72627,0.47538,0.38465000000000005,0.33150999999999997,0.74263,0.45004999999999995,0.33541,0.38465000000000005,0.33150999999999997,0.38465000000000005,0.48812,0.0,0.47538,0.42759,0.72627,0.18567,0.33914,0.41525,0.33914,0.74263,0.74263,0.26305,0.72624,0.46487999999999996,0.0,0.44047000000000003,0.33541,0.49656999999999996,0.67092,0.60329,0.39491,0.0,0.33541,0.0,0.72627,0.0,0.33541,0.39491,0.38465000000000005,0.67092,0.60453,0.33541,0.40206,0.0,0.12946000000000002,0.57431,0.46487999999999996,0.47544,0.48812,0.67092,0.49656999999999996,0.40206,0.3117,0.47297,0.26305,0.39491,0.26305,0.67092,0.41523,0.67092,0.26305,0.0,0.33914,0.0,0.39491,0.0,0.60329,0.42759,0.72627,0.38465000000000005,0.33541,0.42517000000000005,0.37507999999999997,0.72627,0.74263,0.44047000000000003,0.44047000000000003,0.38454999999999995,0.0,0.27214000000000005,0.12946000000000002,0.18567,0.47538,0.0,0.41523,0.72624,0.47538,0.0,0.48812,0.35962000000000005,0.38465000000000005,0.35968999999999995,0.39491,0.72627,0.44047000000000003,0.33541,0.67092,0.0,0.35968999999999995,0.47538,0.47538,0.67092,0.33541,0.3117,0.0,0.40502000000000005,0.60453,0.38465000000000005,0.0
TRBV20-1*06,0.72618,0.72627,0.0,0.5206299999999999,0.61019,0.59473,0.72612,0.0,0.72627,0.56084,0.52961,0.61019,0.72418,0.67415,0.57536,0.59473,0.5206299999999999,0.72612,0.56391,0.0,0.5608,0.61191,0.69452,0.54085,0.70696,0.56794,0.61191,0.69452,0.61191,0.57073,0.72612,0.5608,0.69519,0.0,0.62964,0.6639999999999999,0.6928300000000001,0.6639999999999999,0.54085,0.54085,0.57536,0.0,0.57377,0.72618,0.72418,0.56794,0.5575600000000001,0.61019,0.52961,0.5206299999999999,0.72627,0.56794,0.72612,0.0,0.72601,0.56794,0.5206299999999999,0.61191,0.61019,0.5603899999999999,0.56794,0.6208400000000001,0.72612,0.59473,0.51353,0.57377,0.56084,0.57073,0.61019,0.5575600000000001,0.6208400000000001,0.5665899999999999,0.57648,0.57536,0.5206299999999999,0.57536,0.61019,0.69279,0.61019,0.57536,0.72618,0.6639999999999999,0.72612,0.5206299999999999,0.7262299999999999,0.52961,0.69519,0.0,0.61191,0.56794,0.61487,0.56391,0.0,0.54085,0.72418,0.72418,0.6119600000000001,0.72612,0.60355,0.59473,0.62964,0.5608,0.72618,0.69279,0.0,0.5608,0.72612,0.57073,0.60983,0.61191,0.6097699999999999,0.5206299999999999,0.0,0.72418,0.56794,0.61019,0.72627,0.6097699999999999,0.5608,0.5608,0.61019,0.56794,0.5665899999999999,0.7262299999999999,0.62027,0.5603899999999999,0.61191,0.72612
TRBV7-9*02,0.39481999999999995,0.39491,0.5206299999999999,0.0,0.6586799999999999,0.38347,0.39493,0.5206299999999999,0.39491,0.40342,0.44128,0.6586799999999999,0.41169999999999995,0.47795,0.14042,0.38347,0.0,0.39493,0.33735000000000004,0.5206299999999999,0.40346000000000004,0.5050600000000001,0.49422,0.58433,0.44240999999999997,0.18999,0.5050600000000001,0.49422,0.5050600000000001,0.40359999999999996,0.39493,0.40346000000000004,0.5301400000000001,0.5206299999999999,0.45943999999999996,0.4265,0.63202,0.4265,0.58433,0.58433,0.14042,0.5206500000000001,0.43394,0.39481999999999995,0.41169999999999995,0.18999,0.37334999999999996,0.6586799999999999,0.44128,0.0,0.39491,0.18999,0.39493,0.5206299999999999,0.39493,0.18999,0.0,0.5050600000000001,0.6586799999999999,0.45247000000000004,0.18999,0.5595300000000001,0.39493,0.38347,0.39535,0.43394,0.40342,0.40359999999999996,0.6586799999999999,0.37334999999999996,0.5595300000000001,0.21689000000000003,0.43409,0.14042,0.0,0.14042,0.6586799999999999,0.63208,0.6586799999999999,0.14042,0.39481999999999995,0.4265,0.39493,0.0,0.39492000000000005,0.44128,0.5301400000000001,0.5206299999999999,0.5050600000000001,0.18999,0.46914,0.33735000000000004,0.5206299999999999,0.58433,0.41169999999999995,0.41169999999999995,0.50512,0.39493,0.5021100000000001,0.38347,0.45943999999999996,0.40346000000000004,0.39481999999999995,0.63208,0.5206500000000001,0.40346000000000004,0.39493,0.40359999999999996,0.53479,0.5050600000000001,0.53485,0.0,0.5206299999999999,0.41169999999999995,0.18999,0.6586799999999999,0.39491,0.53485,0.40346000000000004,0.40346000000000004,0.6586799999999999,0.18999,0.21689000000000003,0.39492000000000005,0.56236,0.45247000000000004,0.5050600000000001,0.39493
TRBV24-1*01,0.67093,0.67092,0.61019,0.6586799999999999,0.0,0.6752400000000001,0.67092,0.61019,0.67092,0.69015,0.6713199999999999,0.0,0.71977,0.70676,0.6573100000000001,0.6752400000000001,0.6586799999999999,0.67092,0.62193,0.61019,0.6900200000000001,0.6789000000000001,0.57262,0.6533599999999999,0.71747,0.6886300000000001,0.6789000000000001,0.57262,0.6789000000000001,0.6648499999999999,0.67092,0.6900200000000001,0.68302,0.61019,0.66971,0.65116,0.68015,0.65116,0.6533599999999999,0.6533599999999999,0.6573100000000001,0.6098,0.6697,0.67093,0.71977,0.6886300000000001,0.6988300000000001,0.0,0.6713199999999999,0.6586799999999999,0.67092,0.6886300000000001,0.67092,0.61019,0.6708799999999999,0.6886300000000001,0.6586799999999999,0.6789000000000001,0.0,0.51037,0.6886300000000001,0.65557,0.67092,0.6752400000000001,0.68997,0.6697,0.69015,0.6648499999999999,0.0,0.6988300000000001,0.65557,0.66526,0.65179,0.6573100000000001,0.6586799999999999,0.6573100000000001,0.0,0.68011,0.0,0.6573100000000001,0.67093,0.65116,0.67092,0.6586799999999999,0.6708799999999999,0.6713199999999999,0.68302,0.61019,0.6789000000000001,0.6886300000000001,0.69106,0.62193,0.61019,0.6533599999999999,0.71977,0.71977,0.67881,0.67092,0.63007,0.6752400000000001,0.66971,0.6900200000000001,0.67093,0.68011,0.6098,0.6900200000000001,0.67092,0.6648499999999999,0.68285,0.6789000000000001,0.68286,0.6586799999999999,0.61019,0.71977,0.6886300000000001,0.0,0.67092,0.68286,0.6900200000000001,0.6900200000000001,0.0,0.6886300000000001,0.66526,0.6708799999999999,0.67405,0.51037,0.6789000000000001,0.67092
TRBV12-4*02,0.12919999999999998,0.12946000000000002,0.59473,0.38347,0.6752400000000001,0.0,0.12944,0.59473,0.12946000000000002,0.40686999999999995,0.49890999999999996,0.6752400000000001,0.43213,0.50946,0.25751,0.0,0.38347,0.12944,0.3581,0.59473,0.40681999999999996,0.35187999999999997,0.37417999999999996,0.66435,0.41724000000000006,0.24041999999999997,0.35187999999999997,0.37417999999999996,0.35187999999999997,0.43950999999999996,0.12944,0.40681999999999996,0.34853,0.59473,0.20770999999999995,0.23268,0.44043,0.23268,0.66435,0.66435,0.25751,0.59476,0.44881000000000004,0.12919999999999998,0.43213,0.24041999999999997,0.44082,0.6752400000000001,0.49890999999999996,0.38347,0.12946000000000002,0.24041999999999997,0.12944,0.59473,0.12951999999999997,0.24041999999999997,0.38347,0.35187999999999997,0.6752400000000001,0.56355,0.24041999999999997,0.30684,0.12944,0.0,0.51902,0.44881000000000004,0.40686999999999995,0.43950999999999996,0.6752400000000001,0.44082,0.30684,0.19808000000000003,0.38676999999999995,0.25751,0.38347,0.25751,0.6752400000000001,0.44048,0.6752400000000001,0.25751,0.12919999999999998,0.23268,0.12944,0.38347,0.12953000000000003,0.49890999999999996,0.34853,0.59473,0.35187999999999997,0.24041999999999997,0.43282,0.3581,0.59473,0.66435,0.43213,0.43213,0.35173,0.12944,0.28254999999999997,0.0,0.20770999999999995,0.40681999999999996,0.12919999999999998,0.44048,0.59476,0.40681999999999996,0.12944,0.43950999999999996,0.28532,0.35187999999999997,0.28533,0.38347,0.59473,0.43213,0.24041999999999997,0.6752400000000001,0.12946000000000002,0.28533,0.40681999999999996,0.40681999999999996,0.6752400000000001,0.24041999999999997,0.19808000000000003,0.12953000000000003,0.30818,0.56355,0.35187999999999997,0.12944
TRBV7-6*02,0.0,0.0,0.72612,0.39493,0.67092,0.12944,0.0,0.72612,0.0,0.47536,0.60321,0.67092,0.44044000000000005,0.55208,0.26307,0.12944,0.39493,0.0,0.37500999999999995,0.72612,0.47531,0.38451,0.33133,0.74251,0.44999,0.33543999999999996,0.38451,0.33133,0.38451,0.48807,0.0,0.47531,0.42747999999999997,0.72612,0.18537000000000003,0.33892,0.41518,0.33892,0.74251,0.74251,0.26307,0.7261,0.46486000000000005,0.0,0.44044000000000005,0.33543999999999996,0.49653,0.67092,0.60321,0.39493,0.0,0.33543999999999996,0.0,0.72612,0.0,0.33543999999999996,0.39493,0.38451,0.67092,0.60444,0.33543999999999996,0.40195000000000003,0.0,0.12944,0.5742700000000001,0.46486000000000005,0.47536,0.48807,0.67092,0.49653,0.40195000000000003,0.31166000000000005,0.4729,0.26307,0.39493,0.26307,0.67092,0.41517000000000004,0.67092,0.26307,0.0,0.33892,0.0,0.39493,0.0,0.60321,0.42747999999999997,0.72612,0.38451,0.33543999999999996,0.42513,0.37500999999999995,0.72612,0.74251,0.44044000000000005,0.44044000000000005,0.38441000000000003,0.0,0.27198,0.12944,0.18537000000000003,0.47531,0.0,0.41517000000000004,0.7261,0.47531,0.0,0.48807,0.35936999999999997,0.38451,0.35945000000000005,0.39493,0.72612,0.44044000000000005,0.33543999999999996,0.67092,0.0,0.35945000000000005,0.47531,0.47531,0.67092,0.33543999999999996,0.31166000000000005,0.0,0.40497000000000005,0.60444,0.38451,0.0
TRBV20-1*03,0.72618,0.72627,0.0,0.5206299999999999,0.61019,0.59473,0.72612,0.0,0.72627,0.56084,0.52961,0.61019,0.72418,0.67415,0.57536,0.59473,0.5206299999999999,0.72612,0.56391,0.0,0.5608,0.61191,0.69452,0.54085,0.70696,0.56794,0.61191,0.69452,0.61191,0.57073,0.72612,0.5608,0.69519,0.0,0.62964,0.6639999999999999,0.6928300000000001,0.6639999999999999,0.54085,0.54085,0.57536,0.0,0.57377,0.72618,0.72418,0.56794,0.5575600000000001,0.61019,0.52961,0.5206299999999999,0.72627,0.56794,0.72612,0.0,0.72601,0.56794,0.5206299999999999,0.61191,0.61019,0.5603899999999999,0.56794,0.6208400000000001,0.72612,0.59473,0.51353,0.57377,0.56084,0.57073,0.61019,0.5575600000000001,0.6208400000000001,0.5665899999999999,0.57648,0.57536,0.5206299999999999,0.57536,0.61019,0.69279,0.61019,0.57536,0.72618,0.6639999999999999,0.72612,0.5206299999999999,0.7262299999999999,0.52961,0.69519,0.0,0.61191,0.56794,0.61487,0.56391,0.0,0.54085,0.72418,0.72418,0.6119600000000001,0.72612,0.60355,0.59473,0.62964,0.5608,0.72618,0.69279,0.0,0.5608,0.72612,0.57073,0.60983,0.61191,0.6097699999999999,0.5206299999999999,0.0,0.72418,0.56794,0.61019,0.72627,0.6097699999999999,0.5608,0.5608,0.61019,0.56794,0.5665899999999999,0.7262299999999999,0.62027,0.5603899999999999,0.61191,0.72612
TRBV29-1*01,0.0,0.0,0.72627,0.39491,0.67092,0.12946000000000002,0.0,0.72627,0.0,0.47544,0.60329,0.67092,0.44047000000000003,0.5521199999999999,0.26305,0.12946000000000002,0.39491,0.0,0.37507999999999997,0.72627,0.47538,0.38465000000000005,0.33150999999999997,0.74263,0.45004999999999995,0.33541,0.38465000000000005,0.33150999999999997,0.38465000000000005,0.48812,0.0,0.47538,0.42759,0.72627,0.18567,0.33914,0.41525,0.33914,0.74263,0.74263,0.26305,0.72624,0.46487999999999996,0.0,0.44047000000000003,0.33541,0.49656999999999996,0.67092,0.60329,0.39491,0.0,0.33541,0.0,0.72627,0.0,0.33541,0.39491,0.38465000000000005,0.67092,0.60453,0.33541,0.40206,0.0,0.12946000000000002,0.57431,0.46487999999999996,0.47544,0.48812,0.67092,0.49656999999999996,0.40206,0.3117,0.47297,0.26305,0.39491,0.26305,0.67092,0.41523,0.67092,0.26305,0.0,0.33914,0.0,0.39491,0.0,0.60329,0.42759,0.72627,0.38465000000000005,0.33541,0.42517000000000005,0.37507999999999997,0.72627,0.74263,0.44047000000000003,0.44047000000000003,0.38454999999999995,0.0,0.27214000000000005,0.12946000000000002,0.18567,0.47538,0.0,0.41523,0.72624,0.47538,0.0,0.48812,0.35962000000000005,0.38465000000000005,0.35968999999999995,0.39491,0.72627,0.44047000000000003,0.33541,0.67092,0.0,0.35968999999999995,0.47538,0.47538,0.67092,0.33541,0.3117,0.0,0.40502000000000005,0.60453,0.38465000000000005,0.0
TRBV4-1*02,0.47529,0.47544,0.56084,0.40342,0.69015,0.40686999999999995,0.47536,0.56084,0.47544,0.0,0.17913,0.69015,0.21096000000000004,0.27127,0.38575000000000004,0.40686999999999995,0.40342,0.47536,0.37266,0.56084,0.0,0.44145,0.5412699999999999,0.6312,0.14666,0.38734,0.44145,0.5412699999999999,0.44145,0.16727999999999998,0.47536,0.0,0.44828,0.56084,0.51379,0.39329000000000003,0.51912,0.39329000000000003,0.6312,0.6312,0.38575000000000004,0.56086,0.23016999999999999,0.47529,0.21096000000000004,0.38734,0.07027000000000005,0.69015,0.17913,0.40342,0.47544,0.38734,0.47536,0.56084,0.47528000000000004,0.38734,0.40342,0.44145,0.69015,0.5210600000000001,0.38734,0.45955,0.47536,0.40686999999999995,0.17095000000000005,0.23016999999999999,0.0,0.16727999999999998,0.69015,0.07027000000000005,0.45955,0.38178999999999996,0.053180000000000005,0.38575000000000004,0.40342,0.38575000000000004,0.69015,0.51919,0.69015,0.38575000000000004,0.47529,0.39329000000000003,0.47536,0.40342,0.47551,0.17913,0.44828,0.56084,0.44145,0.38734,0.23729,0.37266,0.56084,0.6312,0.21096000000000004,0.21096000000000004,0.44155999999999995,0.47536,0.43626,0.40686999999999995,0.51379,0.0,0.47529,0.51919,0.56086,0.0,0.47536,0.16727999999999998,0.47462000000000004,0.44145,0.47453,0.40342,0.56084,0.21096000000000004,0.38734,0.69015,0.47544,0.47453,0.0,0.0,0.69015,0.38734,0.38178999999999996,0.47551,0.51674,0.5210600000000001,0.44145,0.47536
