Column1;TRBV3*02;TRBV17*01;TRBV16*03;TRBV4*01;TRBV4*02;TRBV16*04;TRBV13-2*04;TRBV3*01;TRBV13-3*01;TRBV26*01;TRBV13-2*05;TRBV5*04;TRBV19*01;TRBV19*03;TRBV13-2*03;TRBV29*02;TRBV5*05;TRBV13-2*01;TRBV13-2*02;TRBV24*03;TRBV16*02;TRBV1*01;TRBV16*01;TRBV12-1*01;TRBV23*01;TRBV2*01;TRBV26*02;TRBV5*01;TRBV24*02;TRBV1*02;TRBV13-1*02;TRBV24*01;TRBV14*01;TRBV15*01;TRBV24*04;TRBV5*03;TRBV20*01;TRBV13-1*01;TRBV29*01;TRBV5*02;TRBV20*02;TRBV12-1*02;TRBV19*02;TRBV12-2*01;TRBV12-2*02;TRBV21*01
TRBV3*02;0;0.6254;0.6209;0.4788;0.2079;0.5655;0.5298;0.5452;0.0047;0.5464;0.5274;0.4879;0.5142;0.5296;0.5142;0.5299;0.5396;0.4764;0.5195;0.5371;0.5371;0.4488;0.5681;0.5681;0.5246;0.4764;0.5226;0.532;0.4488;0.6638;0.4154;0.4485;0.485;0.4314;0.5315;0.8611;0.6642;0.4852;0.532;0.8617;0.5302;0.5238;0.5178;0.5298;0.5302;0.5274
TRBV17*01;0.6254;0;0.6856;0.7292;0.6416;0.7137;0.7561;0.5375;0.6238;0.3951;0.6938;0.7194;0.5195;0.3922;0.4848;0.4999;0.5407;0.5054;0.4929;0.5385;0.5385;0.7106;0.7151;0.7077;0.754;0.6865;0.7573;0.4541;0.7106;0.5493;0.6894;0.7182;0.7366;0.7058;0.4575;0.82;0.5456;0.5107;0.4541;0.8156;0.7612;0.756;0.4938;0.7561;0.7612;0.6938
TRBV16*03;0.6209;0.6856;0;0.3013;0.573;0.1175;0.4019;0.6344;0.5957;0.6539;0.5422;0.5199;0.6686;0.7248;0.6491;0.6423;0.6365;0.6907;0.6808;0.6376;0.6376;0.4512;0.1255;0.1094;0.4347;0.4927;0.5215;0.7014;0.4512;0.6064;0.4538;0.306;0.2873;0.4493;0.6999;0.8591;0.6036;0.702;0.7014;0.8581;0.4054;0.4303;0.6472;0.4019;0.4054;0.5422
TRBV4*01;0.4788;0.7292;0.3013;0;0.4557;0.3734;0.5345;0.638;0.462;0.5936;0.5642;0.5454;0.6543;0.6416;0.624;0.6209;0.6377;0.6454;0.6192;0.6389;0.6389;0.4677;0.3808;0.3758;0.5443;0.5013;0.56;0.6376;0.4677;0.5253;0.4529;0.2869;0.4995;0.4667;0.6364;0.8322;0.5193;0.6441;0.6376;0.833;0.5321;0.5433;0.6199;0.5345;0.5321;0.5642
TRBV4*02;0.2079;0.6416;0.573;0.4557;0;0.5317;0.5825;0.55;0.1906;0.5394;0.5499;0.4913;0.5398;0.4902;0.4744;0.5082;0.5439;0.529;0.4737;0.5404;0.5404;0.4789;0.5318;0.5393;0.577;0.4814;0.5187;0.4978;0.4789;0.644;0.4582;0.4211;0.5307;0.461;0.5022;0.8601;0.6424;0.5259;0.4978;0.8605;0.583;0.5767;0.47;0.5825;0.583;0.5499
TRBV16*04;0.5655;0.7137;0.1175;0.3734;0.5317;0;0.3501;0.6322;0.5491;0.6127;0.5315;0.5119;0.6487;0.6696;0.6139;0.615;0.6312;0.6335;0.6429;0.6291;0.6291;0.4348;0.0065;0.0015;0.3844;0.4529;0.5137;0.6616;0.4348;0.6005;0.4432;0.2566;0.2246;0.4411;0.6624;0.8448;0.6004;0.6425;0.6616;0.8436;0.355;0.3794;0.6141;0.3501;0.355;0.5315
TRBV13-2*04;0.5298;0.7561;0.4019;0.5345;0.5825;0.3501;0;0.6503;0.5223;0.6395;0.5055;0.494;0.6569;0.6539;0.6821;0.6828;0.6458;0.6949;0.6267;0.6426;0.6426;0.4356;0.3327;0.3507;0.0334;0.3892;0.5162;0.6459;0.4356;0.616;0.4396;0.4316;0.2831;0.4246;0.6479;0.8455;0.6161;0.6943;0.6459;0.846;0.0015;0.0325;0.6788;0.6503;0.6502;0.636
TRBV3*01;0.5452;0.5375;0.6344;0.638;0.55;0.6322;0.6503;0;0.5415;0.4957;0.636;0.6688;0.1057;0.3455;0.1433;0.117;0.0059;0.2603;0.2402;0.0061;0.0061;0.6334;0.636;0.6296;0.6457;0.6106;0.6716;0.2748;0.6334;0.2358;0.624;0.6335;0.6391;0.6317;0.2942;0.8;0.2407;0.2473;0.2748;0.7957;0.6502;0.6447;0.1412;0.5223;0.5227;0.5244
TRBV13-3*01;0.0047;0.6238;0.5957;0.462;0.1906;0.5491;0.5223;0.5415;0;0.5454;0.5244;0.4726;0.5064;0.528;0.5054;0.5225;0.5345;0.4717;0.5151;0.5313;0.5313;0.4308;0.551;0.5535;0.5165;0.4658;0.5082;0.53;0.4308;0.663;0.3972;0.4314;0.4757;0.4127;0.5305;0.862;0.663;0.4811;0.53;0.8625;0.5227;0.5155;0.5086;0.6395;0.6395;0.6264
TRBV26*01;0.5464;0.3951;0.6539;0.5936;0.5394;0.6127;0.6395;0.4957;0.5454;0;0.6264;0.6902;0.4932;0.3837;0.4353;0.4164;0.4863;0.5034;0.4533;0.4807;0.4807;0.6541;0.6265;0.6172;0.6469;0.6221;0.6902;0.4215;0.6541;0.4729;0.6516;0.6632;0.6418;0.6522;0.4159;0.7723;0.4721;0.5011;0.4215;0.7683;0.6395;0.6464;0.4398;0.494;0.4987;0.2156
