CDR1,TRBV24-1_01,TRBV04-1_02,TRBV19_01,TRBV10-3_01,TRBV06-6_04,TRBV06-8_01,TRBV04-3_02,TRBV25-1_01,TRBV06-7_01,TRBV04-3_01,TRBV06-2_01,TRBV06-6_01,TRBV06-4_02,TRBV10-2_02,TRBV19_02,TRBV10-2_01,TRBV06-1_01,TRBV06-3_01,TRBV04-1_01,TRBV06-5_01,TRBV10-1_01,TRBV06-4_01,TRBV28_01,TRBV24_OR9-2_01,TRBV10-1_02,TRBV19_03,TRBV27_01,TRBV06-6_02,TRBV06-6_03,TRBV04-3_03,TRBV04-2_02,TRBV06-9_01,TRBV06-6_05,TRBV24-1_02,TRBV04-2_01,TRBV04-3_04,TRBV10-3_02,TRBV07-2_04,TRBV29_OR9-2_02,TRBV07-9_02,TRBV12-4_02,TRBV07-6_02,TRBV29-1_01,TRBV07-3_02,TRBV12-3_01,TRBV07-9_01,TRBV17_01,TRBV14_01,TRBV05-4_01,TRBV05-1_01,TRBV11-2_01,TRBV05-4_03,TRBV05-1_02,TRBV05-5_02,TRBV07-7_01,TRBV05-3_02,TRBV13_01,TRBV02_01,TRBV21_OR9-2_01,TRBV02_02,TRBV07-3_05,TRBV07-2_03,TRBV11-3_04,TRBV07-9_04,TRBV29-1_02,TRBV11-2_02,TRBV18_01,TRBV15_01,TRBV11-3_02,TRBV07-9_07,TRBV05-5_03,TRBV03-1_02,TRBV11-2_03,TRBV09_01,TRBV07-7_02,TRBV12-4_01,TRBV09_03,TRBV07-8_01,TRBV07-3_04,TRBV07-9_03,TRBV07-3_03,TRBV16_01,TRBV07-3_01,TRBV07-2_01,TRBV02_03,TRBV17_02,TRBV07-9_06,TRBV15_02,TRBV05-3_01,TRBV05-5_01,TRBV11-1_01,TRBV14_02,TRBV05-7_01,TRBV07-6_01,TRBV12-5_01,TRBV13_02,TRBV07-2_02,TRBV23-1_01,TRBV07-4_01,TRBV29-1_03,TRBV05-4_02,TRBV05-8_02,TRBV07-9_05,TRBV11-3_01,TRBV29_OR9-2_01,TRBV05-8_01,TRBV11-3_03,TRBV07-8_02,TRBV15_03,TRBV09_02,TRBV03-1_01,TRBV05-4_04,TRBV07-1_01,TRBV20-1_06,TRBV20-1_03,TRBV20-1_01,TRBV20-1_05,TRBV20_OR9-2_02,TRBV20_OR9-2_01,TRBV20-1_02,TRBV20-1_04,TRBV20_OR9-2_03,TRBV20-1_07,TRBV30_05,TRBV30_04,TRBV30_02,TRBV30_01,TRBV05-6_01,TRBV07-8_03,TRBV16_03
TRBV24-1_01,0,0.6902,0.6713,0,0.7198,0.6649,0.69,0.7175,0.6648,0.69,0.6697,0.7198,0.6988,0,0.6713,0,0.69,0.6697,0.6902,0.6648,0,0.6988,0.6518,0,0,0.6713,0.6911,0.7198,0.7198,0.69,0.69,0.6648,0.7198,0,0.69,0.69,0,0.8605,0.8605,0.8276,0.8257,0.8604,0.8605,0.83,0.8257,0.8276,0.8604,0.8289,0.8219,0.8254,0.8402,0.8219,0.8254,0.8219,0.8604,0.7646,0.8119,0.8036,0.8191,0.8036,0.83,0.8605,0.8402,0.8276,0.8605,0.8402,0.8604,0.8604,0.8402,0.8276,0.8219,0.7959,0.8402,0.7815,0.8604,0.8257,0.7815,0.8234,0.83,0.8276,0.83,0.8191,0.83,0.8605,0.8036,0.8604,0.8276,0.8604,0.7646,0.8219,0.8402,0.8289,0.8219,0.8604,0.8257,0.8119,0.8605,0.8191,0.8604,0.8009,0.8219,0.8008,0.8276,0.8402,0.8605,0.8008,0.8402,0.8234,0.8604,0.7894,0.7959,0.8219,0.8604,0.8466,0.8466,0.8466,0.8466,0.8466,0.8466,0.8466,0.8466,0.8466,0.8466,0.8215,0.8215,0.8215,0.8215,0.8265,0.823,1
TRBV04-1_02,0.6902,0,0.1791,0.6902,0.211,0.1672,0,0.1467,0.1673,0,0.2302,0.211,0.0703,0.6902,0.1791,0.6902,0.1709,0.2302,0,0.1673,0.6902,0.0703,0.0532,0.6902,0.6902,0.1791,0.2373,0.211,0.211,0,0,0.1673,0.211,0.6902,0,0,0.6902,0.4753,0.4754,0.4034,0.4069,0.4754,0.4754,0.3857,0.4069,0.4034,0.4754,0.3739,0.4415,0.5413,0.3873,0.4415,0.5413,0.4415,0.4754,0.4483,0.5138,0.3933,0.5094,0.3933,0.3857,0.4753,0.3873,0.4034,0.4754,0.3873,0.4754,0.4753,0.3873,0.4034,0.4415,0.5211,0.3873,0.4596,0.4754,0.4069,0.4596,0.3818,0.3857,0.4034,0.3857,0.5094,0.3857,0.4753,0.3933,0.4754,0.4034,0.4755,0.4483,0.4415,0.3873,0.3739,0.4416,0.4754,0.4069,0.5138,0.4753,0.5094,0.4754,0.4746,0.4415,0.4745,0.4034,0.3873,0.4754,0.4745,0.3873,0.3818,0.4755,0.5167,0.5211,0.4415,0.4754,0.8668,0.8668,0.8668,0.8668,0.8668,0.8668,0.8668,0.8668,0.8668,0.8668,0.8353,0.8353,0.8353,0.8353,0.4363,0.382,1
TRBV19_01,0.6713,0.1791,0.000,0.671,0.347,0.325,0.179,0.225,0.325,0.179,0.344,0.347,0.194,0.671,0.000,0.671,0.283,0.344,0.179,0.325,0.671,0.194,0.220,0.671,0.671,0.000,0.326,0.347,0.347,0.179,0.179,0.325,0.347,0.671,0.179,0.179,0.671,0.603,0.603,0.441,0.499,0.603,0.603,0.484,0.499,0.441,0.603,0.467,0.433,0.635,0.487,0.433,0.635,0.433,0.603,0.466,0.580,0.438,0.607,0.438,0.484,0.603,0.487,0.441,0.603,0.487,0.603,0.603,0.487,0.441,0.433,0.483,0.487,0.512,0.603,0.499,0.512,0.455,0.484,0.441,0.484,0.607,0.484,0.603,0.438,0.603,0.441,0.603,0.466,0.433,0.487,0.467,0.433,0.603,0.499,0.580,0.603,0.607,0.603,0.507,0.433,0.507,0.441,0.487,0.603,0.507,0.487,0.455,0.603,0.511,0.483,0.433,0.603,0.886,0.886,0.886,0.886,0.886,0.886,0.886,0.886,0.886,0.886,0.827,0.827,0.827,0.827,0.4817,0.455,1
TRBV10-3_01,0,0.6902,0.671,0.000,0.720,0.665,0.690,0.718,0.665,0.690,0.670,0.720,0.699,0.000,0.671,0.000,0.690,0.670,0.690,0.665,0.000,0.699,0.652,0.000,0.000,0.671,0.691,0.720,0.720,0.690,0.690,0.665,0.720,0.000,0.690,0.690,0.000,0.861,0.861,0.828,0.826,0.860,0.861,0.830,0.826,0.828,0.860,0.829,0.822,0.825,0.840,0.822,0.825,0.822,0.860,0.765,0.812,0.804,0.819,0.804,0.830,0.861,0.840,0.828,0.861,0.840,0.860,0.860,0.840,0.828,0.822,0.796,0.840,0.782,0.860,0.826,0.782,0.823,0.830,0.828,0.830,0.819,0.830,0.861,0.804,0.860,0.828,0.860,0.765,0.822,0.840,0.829,0.822,0.860,0.826,0.812,0.861,0.819,0.860,0.801,0.822,0.801,0.828,0.840,0.861,0.801,0.840,0.823,0.860,0.789,0.796,0.822,0.860,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.822,0.822,0.822,0.822,0.8265,0.823,1
TRBV06-6_04,0.7198,0.211,0.347,0.720,0.000,0.116,0.211,0.117,0.116,0.211,0.148,0.000,0.121,0.720,0.347,0.720,0.263,0.148,0.211,0.116,0.720,0.121,0.173,0.720,0.720,0.347,0.136,0.000,0.000,0.211,0.211,0.116,0.000,0.720,0.211,0.211,0.720,0.440,0.441,0.412,0.432,0.440,0.441,0.404,0.432,0.412,0.440,0.395,0.513,0.478,0.404,0.513,0.478,0.513,0.440,0.455,0.485,0.438,0.477,0.438,0.404,0.440,0.404,0.412,0.441,0.404,0.440,0.440,0.404,0.412,0.513,0.564,0.404,0.445,0.440,0.432,0.445,0.404,0.404,0.412,0.404,0.477,0.404,0.440,0.438,0.440,0.412,0.441,0.455,0.513,0.404,0.395,0.513,0.440,0.432,0.485,0.440,0.477,0.440,0.522,0.513,0.522,0.412,0.404,0.441,0.522,0.404,0.404,0.441,0.483,0.564,0.513,0.440,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.850,0.850,0.850,0.850,0.4568,0.404,1
TRBV06-8_01,0.6649,0.1672,0.325,0.665,0.116,0.000,0.271,0.319,0.125,0.271,0.210,0.226,0.195,0.707,0.410,0.707,0.233,0.210,0.271,0.125,0.707,0.195,0.254,0.707,0.707,0.410,0.228,0.226,0.226,0.271,0.271,0.125,0.226,0.707,0.271,0.271,0.707,0.552,0.552,0.478,0.510,0.552,0.552,0.458,0.510,0.478,0.552,0.453,0.520,0.619,0.455,0.520,0.619,0.520,0.552,0.561,0.598,0.495,0.598,0.495,0.458,0.552,0.455,0.478,0.552,0.455,0.552,0.552,0.455,0.478,0.520,0.563,0.455,0.572,0.552,0.510,0.572,0.450,0.458,0.478,0.458,0.599,0.458,0.552,0.495,0.552,0.478,0.552,0.561,0.520,0.455,0.453,0.520,0.552,0.510,0.598,0.552,0.599,0.552,0.577,0.520,0.577,0.478,0.455,0.552,0.577,0.455,0.450,0.552,0.616,0.563,0.520,0.552,0.906,0.906,0.906,0.906,0.906,0.906,0.906,0.906,0.906,0.906,0.883,0.883,0.883,0.883,0.4934,0.371,1
TRBV04-3_02,0.69,0,0.179,0.690,0.211,0.271,0.000,0.147,0.167,0.000,0.230,0.211,0.070,0.690,0.179,0.690,0.171,0.230,0.000,0.167,0.690,0.070,0.053,0.690,0.690,0.179,0.237,0.211,0.211,0.000,0.000,0.167,0.211,0.690,0.000,0.000,0.690,0.475,0.475,0.404,0.407,0.475,0.475,0.386,0.407,0.404,0.475,0.374,0.442,0.541,0.387,0.442,0.541,0.442,0.475,0.448,0.514,0.393,0.509,0.393,0.386,0.475,0.387,0.404,0.475,0.387,0.475,0.475,0.387,0.404,0.442,0.521,0.387,0.460,0.475,0.407,0.460,0.382,0.386,0.404,0.386,0.509,0.386,0.475,0.393,0.475,0.404,0.476,0.448,0.442,0.387,0.374,0.442,0.475,0.407,0.514,0.475,0.509,0.475,0.475,0.442,0.474,0.404,0.387,0.475,0.474,0.387,0.382,0.476,0.517,0.521,0.442,0.475,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.835,0.835,0.835,0.835,0.4364,0.382,1
TRBV25-1_01,0.7175,0.1467,0.225,0.718,0.117,0.319,0.147,0.000,0.222,0.147,0.233,0.117,0.118,0.718,0.225,0.718,0.316,0.233,0.147,0.222,0.718,0.118,0.131,0.718,0.718,0.225,0.260,0.117,0.117,0.147,0.147,0.222,0.117,0.718,0.147,0.147,0.718,0.450,0.450,0.442,0.417,0.450,0.450,0.415,0.417,0.442,0.450,0.449,0.501,0.455,0.436,0.501,0.455,0.501,0.450,0.419,0.459,0.383,0.461,0.383,0.415,0.450,0.436,0.442,0.450,0.436,0.450,0.450,0.436,0.442,0.501,0.552,0.436,0.417,0.450,0.417,0.417,0.414,0.415,0.442,0.415,0.461,0.415,0.450,0.383,0.450,0.442,0.450,0.419,0.501,0.436,0.449,0.502,0.450,0.417,0.459,0.450,0.461,0.450,0.507,0.501,0.507,0.442,0.436,0.450,0.507,0.436,0.414,0.450,0.451,0.552,0.501,0.450,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.897,0.834,0.834,0.834,0.834,0.4471,0.414,1
TRBV06-7_01,0.6648,0.1673,0.325,0.665,0.116,0.125,0.167,0.222,0.000,0.167,0.097,0.116,0.080,0.665,0.325,0.665,0.124,0.097,0.167,0.000,0.665,0.080,0.147,0.665,0.665,0.325,0.117,0.116,0.116,0.167,0.167,0.000,0.116,0.665,0.167,0.167,0.665,0.488,0.488,0.404,0.440,0.488,0.488,0.381,0.440,0.404,0.488,0.375,0.451,0.564,0.377,0.451,0.564,0.451,0.488,0.498,0.541,0.422,0.541,0.422,0.381,0.488,0.377,0.404,0.488,0.377,0.488,0.488,0.377,0.404,0.451,0.501,0.377,0.511,0.488,0.440,0.511,0.371,0.381,0.404,0.381,0.541,0.381,0.488,0.422,0.488,0.404,0.488,0.498,0.451,0.377,0.375,0.452,0.488,0.440,0.541,0.488,0.541,0.488,0.517,0.451,0.517,0.404,0.377,0.488,0.517,0.377,0.371,0.488,0.561,0.501,0.451,0.488,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.867,0.867,0.867,0.867,0.421,0.371,1
TRBV04-3_01,0.69,0,0.179,0.690,0.211,0.271,0.000,0.147,0.167,0.000,0.230,0.211,0.070,0.690,0.179,0.690,0.171,0.230,0.000,0.167,0.690,0.070,0.053,0.690,0.690,0.179,0.237,0.211,0.211,0.000,0.000,0.167,0.211,0.690,0.000,0.000,0.690,0.475,0.475,0.404,0.407,0.475,0.475,0.386,0.407,0.404,0.475,0.374,0.442,0.541,0.387,0.442,0.541,0.442,0.475,0.448,0.514,0.393,0.509,0.393,0.386,0.475,0.387,0.404,0.475,0.387,0.475,0.475,0.387,0.404,0.442,0.521,0.387,0.460,0.475,0.407,0.460,0.382,0.386,0.404,0.386,0.509,0.386,0.475,0.393,0.475,0.404,0.476,0.448,0.442,0.387,0.374,0.442,0.475,0.407,0.514,0.475,0.509,0.475,0.475,0.442,0.474,0.404,0.387,0.475,0.474,0.387,0.382,0.476,0.517,0.521,0.442,0.475,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.835,0.835,0.835,0.835,0.4364,0.382,1
