,TRBV3*02,TRBV17*01,TRBV16*03,TRBV4*01,TRBV4*02,TRBV16*04,TRBV13-2*04,TRBV3*01,TRBV13-3*01,TRBV26*01,TRBV13-2*05,TRBV5*04,TRBV19*01,TRBV19*03,TRBV13-2*03,TRBV29*02,TRBV5*05,TRBV13-2*01,TRBV13-2*02,TRBV24*03,TRBV16*02,TRBV1*01,TRBV16*01,TRBV12-1*01,TRBV23*01,TRBV2*01,TRBV26*02,TRBV5*01,TRBV24*02,TRBV1*02,TRBV13-1*02,TRBV24*01,TRBV14*01,TRBV15*01,TRBV24*04,TRBV5*03,TRBV20*01,TRBV13-1*01,TRBV29*01,TRBV5*02,TRBV20*02,TRBV12-1*02,TRBV19*02,TRBV12-2*01,TRBV12-2*02,TRBV21*01
TRBV3*02,0,0.62349,0.62093,0.4788,0.20792,0.56551,0.52981,0.54523,0.00467,0.54577,0.52742,0.48791,0.51418,0.5285,0.51415,0.5299,0.53956,0.47638,0.51956,0.53711,0.53711,0.44879,0.56811,0.5681,0.52461,0.47638,0.52259,0.53137,0.44879,0.66382,0.41541,0.44855,0.48502,0.43139,0.53056,0.68185,0.66417,0.48517,0.53137,0.67809,0.53021,0.52375,0.51775,0.5298,0.5302,0.5274
TRBV17*01,0.62349,0,0.68558,0.72918,0.64104,0.76808,0.74755,0.53751,0.62168,0.39509,0.73418,0.71635,0.51949,0.39222,0.48476,0.49991,0.5407,0.50543,0.4929,0.53855,0.53855,0.70677,0.76612,0.77375,0.77225,0.69985,0.74146,0.45411,0.70677,0.54928,0.68587,0.7617,0.71455,0.70236,0.45752,0.76077,0.5456,0.51067,0.45411,0.75684,0.74791,0.77259,0.49383,0.7561,0.7612,0.6938
TRBV16*03,0.62093,0.68558,0,0.3013,0.57303,0.11753,0.40194,0.63444,0.59566,0.64738,0.54216,0.51986,0.66864,0.72478,0.64907,0.64232,0.63651,0.69075,0.68083,0.63763,0.63763,0.45119,0.12551,0.10944,0.43475,0.49268,0.5215,0.70141,0.45119,0.6064,0.45382,0.30603,0.28731,0.44934,0.69991,0.75228,0.60361,0.70196,0.70141,0.75665,0.40537,0.43026,0.64723,0.4019,0.4054,0.5422
TRBV4*01,0.4788,0.72918,0.3013,0,0.45566,0.37343,0.53452,0.638,0.46198,0.58909,0.56417,0.54541,0.65434,0.64161,0.62401,0.62087,0.63799,0.64544,0.61924,0.63919,0.63919,0.46772,0.38083,0.37581,0.54428,0.50132,0.56005,0.63764,0.46772,0.52534,0.45292,0.28689,0.49954,0.46666,0.63635,0.66631,0.5193,0.64408,0.63764,0.6645,0.53212,0.54326,0.61989,0.5345,0.5321,0.5642
TRBV4*02,0.20792,0.64104,0.57303,0.45566,0,0.53165,0.58254,0.54999,0.19056,0.53944,0.54987,0.49126,0.53978,0.48972,0.47436,0.50822,0.54392,0.52899,0.47372,0.54044,0.54044,0.47885,0.53179,0.53929,0.57699,0.4814,0.51873,0.4978,0.47885,0.64402,0.45823,0.42105,0.53067,0.46104,0.49541,0.69796,0.64243,0.5259,0.4978,0.69224,0.58301,0.57666,0.47,0.5825,0.583,0.5499
TRBV16*04,0.56551,0.76808,0.11753,0.37343,0.53165,0,0.3501,0.63216,0.54908,0.60601,0.53148,0.51194,0.64866,0.66959,0.61386,0.61496,0.63122,0.63349,0.64287,0.62909,0.62909,0.43479,0.00649,0.00147,0.38443,0.45291,0.51375,0.66156,0.43479,0.60049,0.44317,0.25662,0.22461,0.44106,0.66237,0.7022,0.60036,0.64255,0.66156,0.70433,0.35503,0.37937,0.61414,0.3501,0.355,0.5315
TRBV13-2*04,0.52981,0.74755,0.40194,0.53452,0.58254,0.3501,0,0.65032,0.52227,0.62695,0.50555,0.49402,0.65689,0.64533,0.68213,0.68279,0.64579,0.69494,0.6232,0.64256,0.64256,0.43561,0.33268,0.35075,0.03345,0.38921,0.51624,0.63955,0.43561,0.61598,0.43962,0.43163,0.28312,0.4246,0.63986,0.71035,0.61614,0.69426,0.63955,0.70911,0.00154,0.03255,0.67876,0.6503,0.6502,0.636
TRBV3*01,0.54523,0.53751,0.63444,0.638,0.54999,0.63216,0.65032,0,0.54145,0.4957,0.63603,0.66881,0.10567,0.3455,0.14332,0.11705,0.00591,0.26034,0.24022,0.00614,0.00614,0.63341,0.63602,0.62962,0.64575,0.61056,0.67161,0.27484,0.63341,0.2358,0.62403,0.63351,0.63909,0.6317,0.2942,0.69652,0.24065,0.24728,0.27484,0.69676,0.65022,0.64466,0.14118,0.5223,0.5227,0.5244
TRBV13-3*01,0.00467,0.62168,0.59566,0.46198,0.19056,0.54908,0.52227,0.54145,0,0.54452,0.52435,0.47262,0.5064,0.52665,0.50536,0.52248,0.53446,0.47172,0.51506,0.53135,0.53135,0.43076,0.55099,0.55347,0.51651,0.46584,0.50819,0.52927,0.43076,0.66299,0.39718,0.43142,0.47569,0.41275,0.52947,0.67424,0.66296,0.4811,0.52927,0.67034,0.52274,0.51555,0.50859,0.6395,0.6395,0.6264
TRBV26*01,0.54577,0.39509,0.64738,0.58909,0.53944,0.60601,0.62695,0.4957,0.54452,0,0.62638,0.69015,0.49319,0.38374,0.43526,0.41644,0.4863,0.50336,0.45334,0.48066,0.48066,0.64812,0.61955,0.61065,0.64326,0.59022,0.69023,0.42151,0.64812,0.47288,0.63735,0.66196,0.636,0.64444,0.41589,0.72008,0.47211,0.50114,0.42151,0.71416,0.62813,0.64267,0.43979,0.494,0.4987,0.2156
